Province,Lake Area,Shoreline
Agusan del Norte,0,59
Albay,3063.24,354
Aurora,0,332
Batanes,0,188.66
Batangas,23477.59,492
Benguet,3.36,0
Bohol,54.95,379.58
Bukidnon,0,0
Cagayan,40.55,570.34
Capiz,2.73,80
Catanduanes,0,315.46
Cavite,0,122.574
Cebu,750.37,840.15
Davao del Sur,16.22,273
Eastern Samar,0,211.31
Ilocos Norte,336.07,150.18
Ilocos Sur,4.74,157.63
Iloilo,4.9,269.43
Leyte,288.22,511
Maguindanao,7841.11,275
Masbate,1.66,614.19
Misamis Oriental,0,25
National Capital Region,92709.79,190
Negros Oriental,141.96,300
Northern Samar,65.83,250
Nueva Ecija,95.89,0
Occidental Mindoro,41.85,334.8
Oriental Mindoro,8865.45,342.45
Palawan,1282.08,1959
Pangasinan,0,285.66
Quezon,76.61,1066.36
Rizal,90000,0
Romblon,0,54.99
Samar,0,800.6
South Cotabato,8630.79,0
Southern Leyte,16.58,441.31
Surigao del Sur,0,486
Zambales,1023.5,232
Zamboanga del Norte,5.98,400
