Province,Rainfall,Rainy Days,Avg. Temp,Elevation
Agusan del Norte,177.1416667,157,28.1,17.6
Albay,299.425,195,27.7,15.487
Aurora,306.3041667,170,26.6,88.5
Batanes,191.9666667,146,25.05,145.5
Batangas,151.5083333,119,27.7,10.6
Benguet,318.7,152,19.5,1510.08
Bohol,129.525,136,28.2,7.565
Bukidnon,220.1583333,189,24.2,689.5
Cagayan,170.6611111,125.3333333,27,26
Capiz,178.0833333,145,28.1,2.495
Catanduanes,265.6833333,180,27.3,31.574
Cavite,186.775,114,28.9,3
Cebu,140.4166667,138,28.1,25.703
Davao del Sur,152.9583333,136,28.2,17.29
Eastern Samar,382.8583333,223,27.3,2.4
Ilocos Norte,182.25,86,27.6,5.4
Ilocos Sur,181.0083333,97,27.4,58.129
Iloilo,173.7583333,132,27.7,5
Leyte,236.7166667,182,28.1,2.711
Maguindanao,201.1916667,165,27.9,44.9
Masbate,168.8833333,146,28.4,8.831
Misamis Oriental,147.775,136,27,182
National Capital region,209.5125,133.5,28.2,29
Negros Oriental,110.2166667,124,27.9,7.048
Northern Samar,312.5583333,185,27.5,6.58
Nueva Ecija,145.6083333,111,,32
Occidental Mindoro,199.0583333,117,28.1,3.314
Oriental Mindoro,200.6916667,156,27.5,40.5
Palawan,171.5555556,123.6666667,28.36666667,26.89933333
Pangasinan,209.725,115,27.8,2
Quezon,291.5194444,186.3333333,27.73333333,56.56666667
Rizal,232.8416667,162,23.2,646.05
Romblon,198.2083333,155,27.4,176.55
Samar,249.25,181,28.4,5
South Cotabato,79.84166667,106,27.9,132.199
Southern Leyte,194.9,153,27.5,72
Surigao del Sur,396.8,215,27.7,3
Zambales,293.5333333,119.5,27.7,12.3125
Zamboanga del Norte,207.0166667,162,27.4,3.7921
